portfolio,style,annualized_contribution,monthly_t_stat,positive_rate
CMM_equal_weight,size,-0.007300872469318235,-1.8403750211592316,0.3977272727272727
CMM_equal_weight,liquidity,0.11074891861841579,5.2748905058443105,0.7272727272727273
CMM_equal_weight,momentum,0.019890505544341464,1.6081233896174882,0.6022727272727273
CMM_equal_weight,volatility,0.013624047317628469,1.219626960527689,0.5795454545454546
CMM_equal_weight,profitability,-0.002074206611244736,-0.6362181349479124,0.4431818181818182
CMM_equal_weight,growth,0.0005890360470681414,0.33206956879301386,0.48863636363636365
CMM_equal_weight,leverage,0.00048708042902784096,0.22157649842252677,0.5454545454545454
CMM_value_weight,size,-0.012466051741501737,-0.37078297014879874,0.5113636363636364
CMM_value_weight,liquidity,0.0729426553766297,2.8086894289489215,0.6590909090909091
CMM_value_weight,momentum,0.01949917844131391,1.1993032402769057,0.6136363636363636
CMM_value_weight,volatility,0.019419713187880928,0.6743390473360259,0.5681818181818182
CMM_value_weight,profitability,-0.002614189025345111,-0.47251015760547643,0.45454545454545453
CMM_value_weight,growth,0.0002666113953276345,0.18082493367822133,0.5795454545454546
CMM_value_weight,leverage,-0.0021454874849565625,-0.22465540152844038,0.5340909090909091
